Date,High,Low,Close
17-08-2022 06:48:00,23887.14000000,23877.82000000,23880.70000000
17-08-2022 06:49:00,23890.80000000,23882.30000000,23887.13000000
17-08-2022 06:50:00,23892.64000000,23880.78000000,23892.64000000
17-08-2022 06:51:00,23889.43000000,23865.26000000,23867.96000000
17-08-2022 06:52:00,23877.53000000,23869.45000000,23869.82000000
17-08-2022 06:53:00,23886.46000000,23869.47000000,23886.46000000
17-08-2022 06:54:00,23890.11000000,23884.22000000,23885.57000000
17-08-2022 06:55:00,23885.60000000,23876.18000000,23885.60000000
17-08-2022 06:56:00,23883.94000000,23869.87000000,23869.87000000
17-08-2022 06:57:00,23877.31000000,23872.47000000,23874.36000000
17-08-2022 06:58:00,23874.14000000,23851.25000000,23865.52000000
17-08-2022 06:59:00,23861.72000000,23854.26000000,23855.92000000
17-08-2022 07:00:00,23868.19000000,23852.36000000,23857.91000000
17-08-2022 07:01:00,23854.36000000,23832.65000000,23843.58000000
17-08-2022 07:02:00,23845.64000000,23838.57000000,23839.00000000
17-08-2022 07:03:00,23848.25000000,23830.28000000,23848.25000000
17-08-2022 07:04:00,23857.84000000,23835.19000000,23835.19000000
17-08-2022 07:05:00,23868.84000000,23831.60000000,23863.60000000
17-08-2022 07:06:00,23875.56000000,23861.91000000,23870.14000000
17-08-2022 07:07:00,23890.84000000,23876.24000000,23886.01000000
17-08-2022 07:08:00,23884.65000000,23867.57000000,23873.16000000
17-08-2022 07:09:00,23893.52000000,23875.32000000,23890.06000000
17-08-2022 07:10:00,23949.53000000,23890.11000000,23938.17000000
17-08-2022 07:11:00,23960.15000000,23941.07000000,23945.72000000
17-08-2022 07:12:00,23949.99000000,23928.41000000,23946.62000000
17-08-2022 07:13:00,23948.30000000,23920.53000000,23921.00000000
17-08-2022 07:14:00,23941.42000000,23921.13000000,23938.38000000
17-08-2022 07:15:00,23953.78000000,23927.19000000,23929.60000000
17-08-2022 07:16:00,23971.64000000,23930.03000000,23963.97000000
17-08-2022 07:17:00,23987.90000000,23965.96000000,23976.81000000
17-08-2022 07:18:00,24016.03000000,23979.44000000,24003.46000000
17-08-2022 07:19:00,24036.42000000,23999.79000000,24028.21000000
17-08-2022 07:20:00,24033.46000000,23984.20000000,23988.55000000
17-08-2022 07:21:00,23984.20000000,23921.80000000,23929.14000000
17-08-2022 07:22:00,23927.24000000,23899.17000000,23917.05000000
17-08-2022 07:23:00,23919.21000000,23866.16000000,23884.81000000
17-08-2022 07:24:00,23911.72000000,23887.15000000,23890.48000000
17-08-2022 07:25:00,23911.23000000,23887.67000000,23911.23000000
17-08-2022 07:26:00,23916.06000000,23905.96000000,23905.96000000
17-08-2022 07:27:00,23926.20000000,23898.78000000,23926.20000000
17-08-2022 07:28:00,23934.99000000,23918.75000000,23930.11000000
17-08-2022 07:29:00,23930.38000000,23901.89000000,23903.73000000
17-08-2022 07:30:00,23919.19000000,23894.76000000,23918.40000000
17-08-2022 07:31:00,23943.57000000,23908.48000000,23939.86000000
17-08-2022 07:32:00,23952.67000000,23937.01000000,23948.25000000
17-08-2022 07:33:00,23950.92000000,23934.63000000,23942.93000000
17-08-2022 07:34:00,23987.47000000,23942.09000000,23979.62000000
17-08-2022 07:35:00,23990.07000000,23958.03000000,23968.37000000
17-08-2022 07:36:00,23985.33000000,23965.95000000,23971.97000000
17-08-2022 07:37:00,24007.58000000,23969.08000000,24004.87000000
17-08-2022 07:38:00,24018.41000000,23989.16000000,23993.59000000
17-08-2022 07:39:00,24011.89000000,23981.59000000,24006.22000000
17-08-2022 07:40:00,24006.14000000,23982.98000000,23988.22000000
17-08-2022 07:41:00,23998.13000000,23984.09000000,23985.98000000
17-08-2022 07:42:00,23986.75000000,23969.94000000,23977.28000000
17-08-2022 07:43:00,23990.58000000,23966.50000000,23985.25000000
17-08-2022 07:44:00,23990.00000000,23974.53000000,23989.05000000
17-08-2022 07:45:00,23994.89000000,23974.29000000,23981.16000000
17-08-2022 07:46:00,23989.74000000,23978.04000000,23979.81000000
17-08-2022 07:47:00,23989.90000000,23975.16000000,23986.61000000
17-08-2022 07:48:00,23986.32000000,23964.99000000,23972.43000000
17-08-2022 07:49:00,23974.22000000,23957.77000000,23959.33000000
17-08-2022 07:50:00,23971.35000000,23957.06000000,23957.06000000
17-08-2022 07:51:00,23973.17000000,23959.27000000,23962.10000000
17-08-2022 07:52:00,23969.45000000,23951.57000000,23969.45000000
17-08-2022 07:53:00,23980.47000000,23969.87000000,23973.97000000
17-08-2022 07:54:00,23991.92000000,23968.40000000,23990.17000000
17-08-2022 07:55:00,24021.99000000,23993.01000000,24016.35000000
17-08-2022 07:56:00,24025.49000000,24009.63000000,24021.88000000
17-08-2022 07:57:00,24032.25000000,24014.74000000,24015.36000000
17-08-2022 07:58:00,24022.73000000,24003.96000000,24016.51000000
17-08-2022 07:59:00,24015.36000000,24005.24000000,24008.61000000
17-08-2022 08:00:00,24025.14000000,23984.33000000,23988.50000000
17-08-2022 08:01:00,24004.40000000,23975.53000000,23975.53000000
17-08-2022 08:02:00,23993.41000000,23964.30000000,23992.60000000
17-08-2022 08:03:00,23996.93000000,23980.18000000,23982.22000000
17-08-2022 08:04:00,23983.77000000,23972.42000000,23982.77000000
17-08-2022 08:05:00,23986.30000000,23974.87000000,23986.17000000
17-08-2022 08:06:00,24002.87000000,23982.52000000,23997.57000000
17-08-2022 08:07:00,23996.59000000,23986.87000000,23989.35000000
17-08-2022 08:08:00,23997.80000000,23984.49000000,23990.57000000
17-08-2022 08:09:00,23993.21000000,23982.30000000,23992.68000000
17-08-2022 08:10:00,23993.40000000,23980.58000000,23985.22000000
17-08-2022 08:11:00,23997.40000000,23982.11000000,23984.90000000
17-08-2022 08:12:00,23999.54000000,23984.88000000,23987.49000000
17-08-2022 08:13:00,23990.00000000,23975.54000000,23978.13000000
17-08-2022 08:14:00,23980.61000000,23971.15000000,23971.15000000
17-08-2022 08:15:00,23980.36000000,23964.04000000,23967.68000000
17-08-2022 08:16:00,23974.86000000,23963.23000000,23974.20000000
17-08-2022 08:17:00,23979.99000000,23967.47000000,23974.15000000
17-08-2022 08:18:00,23980.69000000,23968.58000000,23980.69000000
17-08-2022 08:19:00,23984.20000000,23979.15000000,23980.49000000
17-08-2022 08:20:00,23992.89000000,23978.98000000,23985.06000000
17-08-2022 08:21:00,23998.91000000,23985.06000000,23993.16000000
17-08-2022 08:22:00,24018.12000000,23991.43000000,24014.90000000
17-08-2022 08:23:00,24034.94000000,24013.03000000,24013.14000000
17-08-2022 08:24:00,24026.46000000,24013.91000000,24015.72000000
17-08-2022 08:25:00,24025.98000000,24014.14000000,24014.14000000
17-08-2022 08:26:00,24023.87000000,24012.10000000,24019.97000000
17-08-2022 08:27:00,24035.24000000,24013.03000000,24035.24000000
17-08-2022 08:28:00,24043.86000000,24022.76000000,24022.76000000
17-08-2022 08:29:00,24036.55000000,24025.16000000,24032.13000000
17-08-2022 08:30:00,24041.50000000,24021.10000000,24027.20000000
17-08-2022 08:31:00,24035.31000000,24022.92000000,24031.09000000
17-08-2022 08:32:00,24043.88000000,24031.32000000,24036.94000000
17-08-2022 08:33:00,24041.46000000,24026.90000000,24037.05000000
17-08-2022 08:34:00,24062.62000000,24046.19000000,24054.36000000
17-08-2022 08:35:00,24061.93000000,24052.40000000,24054.08000000
17-08-2022 08:36:00,24066.84000000,24052.28000000,24058.33000000
17-08-2022 08:37:00,24053.42000000,24037.12000000,24037.12000000
17-08-2022 08:38:00,24030.13000000,23973.91000000,23980.54000000
17-08-2022 08:39:00,24002.65000000,23967.74000000,23971.80000000
17-08-2022 08:40:00,23999.40000000,23960.67000000,23992.21000000
17-08-2022 08:41:00,23999.30000000,23962.80000000,23983.40000000
17-08-2022 08:42:00,23986.55000000,23966.73000000,23976.03000000
17-08-2022 08:43:00,23991.41000000,23977.10000000,23985.71000000
17-08-2022 08:44:00,23990.12000000,23977.96000000,23977.96000000
17-08-2022 08:45:00,23986.75000000,23977.39000000,23986.37000000
17-08-2022 08:46:00,23986.52000000,23968.46000000,23968.46000000
17-08-2022 08:47:00,23965.80000000,23948.02000000,23958.93000000
17-08-2022 08:48:00,23962.60000000,23950.00000000,23957.74000000
17-08-2022 08:49:00,23961.01000000,23953.28000000,23961.01000000
17-08-2022 08:50:00,23957.21000000,23947.02000000,23956.88000000
17-08-2022 08:51:00,23955.55000000,23940.82000000,23946.56000000
17-08-2022 08:52:00,23958.41000000,23948.54000000,23955.14000000
17-08-2022 08:53:00,23965.37000000,23946.73000000,23949.30000000
17-08-2022 08:54:00,23953.10000000,23947.20000000,23950.54000000
17-08-2022 08:55:00,23965.01000000,23936.05000000,23936.05000000
17-08-2022 08:56:00,23946.89000000,23935.48000000,23941.92000000
17-08-2022 08:57:00,23954.38000000,23941.82000000,23950.84000000
17-08-2022 08:58:00,23949.95000000,23940.76000000,23942.00000000
17-08-2022 08:59:00,23952.81000000,23942.07000000,23947.55000000
17-08-2022 09:00:00,23956.69000000,23938.78000000,23938.78000000
17-08-2022 09:01:00,23946.27000000,23938.41000000,23939.87000000
17-08-2022 09:02:00,23938.66000000,23930.73000000,23935.87000000
17-08-2022 09:03:00,23938.80000000,23917.73000000,23917.73000000
17-08-2022 09:04:00,23939.98000000,23922.62000000,23939.35000000
17-08-2022 09:05:00,23936.05000000,23927.30000000,23927.30000000
17-08-2022 09:06:00,23925.58000000,23915.23000000,23915.23000000
17-08-2022 09:07:00,23934.64000000,23909.52000000,23928.53000000
17-08-2022 09:08:00,23933.08000000,23925.53000000,23933.08000000
17-08-2022 09:09:00,23954.86000000,23931.99000000,23949.12000000
17-08-2022 09:10:00,23949.48000000,23943.59000000,23949.48000000
17-08-2022 09:11:00,23959.28000000,23947.26000000,23948.91000000
17-08-2022 09:12:00,23948.12000000,23938.60000000,23940.02000000
17-08-2022 09:13:00,23940.85000000,23931.10000000,23938.15000000
17-08-2022 09:14:00,23939.89000000,23926.86000000,23931.95000000
17-08-2022 09:15:00,23940.80000000,23925.68000000,23935.58000000
17-08-2022 09:16:00,23938.35000000,23914.56000000,23914.56000000
17-08-2022 09:17:00,23916.45000000,23905.39000000,23916.45000000
17-08-2022 09:18:00,23920.77000000,23905.27000000,23905.27000000
17-08-2022 09:19:00,23916.15000000,23903.22000000,23905.21000000
17-08-2022 09:20:00,23909.54000000,23901.28000000,23909.54000000
17-08-2022 09:21:00,23915.79000000,23905.00000000,23915.79000000
17-08-2022 09:22:00,23921.72000000,23909.92000000,23909.92000000
17-08-2022 09:23:00,23910.55000000,23905.64000000,23909.38000000
17-08-2022 09:24:00,23910.59000000,23903.91000000,23906.39000000
17-08-2022 09:25:00,23927.93000000,23904.94000000,23926.66000000
17-08-2022 09:26:00,23925.20000000,23919.85000000,23922.33000000
17-08-2022 09:27:00,23926.82000000,23919.12000000,23926.82000000
17-08-2022 09:28:00,23935.48000000,23927.74000000,23928.15000000
17-08-2022 09:29:00,23942.10000000,23934.14000000,23940.56000000
17-08-2022 09:30:00,23943.94000000,23925.60000000,23940.99000000
17-08-2022 09:31:00,23967.74000000,23946.41000000,23956.40000000
17-08-2022 09:32:00,23960.15000000,23956.11000000,23956.94000000
17-08-2022 09:33:00,23992.71000000,23956.85000000,23986.51000000
17-08-2022 09:34:00,23992.21000000,23979.01000000,23991.21000000
17-08-2022 09:35:00,24023.02000000,23994.79000000,24023.02000000
17-08-2022 09:36:00,24029.98000000,24012.63000000,24023.34000000
17-08-2022 09:37:00,24032.07000000,24016.08000000,24030.98000000
17-08-2022 09:38:00,24050.63000000,24024.99000000,24049.15000000
17-08-2022 09:39:00,24060.00000000,24046.18000000,24051.64000000
17-08-2022 09:40:00,24051.30000000,24038.32000000,24040.59000000
17-08-2022 09:41:00,24037.38000000,24012.87000000,24017.67000000
17-08-2022 09:42:00,24035.39000000,24016.25000000,24026.39000000
17-08-2022 09:43:00,24029.61000000,24008.21000000,24022.32000000
17-08-2022 09:44:00,24026.07000000,24011.47000000,24011.47000000
17-08-2022 09:45:00,24032.32000000,24008.23000000,24027.20000000
